State,Fac Ex No,Address Main Entrance,Chicago Preservation Code,Property Category,Estimated Net Assignable Area,Year Acquired,Property Graphic,Building Length,Year Leased,Year Removed,Alternate Address,Estimated Total Net Area,Architect,Property Picture,Ext (IFMA) Gross Area,Comments,City Code,Legal Property Description,Sustainability - Certifications,Primary Assigned,Caretaker,Drawing Type,Removal Status,CSM,Building Height,National Register,Site Code,Fac Ex Abbr,Chicago Landmark,Major Renovation,Estimated Net Non-Assignable Area,CL Justification,Height Comments,Occupancy Classification,FICM Gross Area,City,Property Status,Alternate Property Code,Estimated Temporary Occupancy,Property Code,Physical Property Description,NR Justification,Secondary Assigned,Site Gross,Building Use,Property Name,Responsible Unit,PIN Number,Estimated Permanent Occupancy,Year Constructed,Replaced By,url,Building Width
IL,24,939 East 57th Street,Unknown,Building,0.00,1949,A01_PHOTO.JPG,0.00,,2001,,0.00,Burnham and Hammond,,0.00,,,,,BSD,Inactive,CAD,Demolished,No,0.00,Unknown,Campus,VSC,Unknown,1979,0.00,test,,,0.00,CHICAGO,Demolished,,0,A01,,,Unknown,0.00,Laboratory,Visual Sciences Center,Inactive,20-14-115-013,0,1949,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=3,0.00
IL,70,915 East 57th Street,Yellow,Building,0.00,1926,A02_PHOTO.JPG,0.00,,2001,,0.00,Coolidge and Hodgdon,,0.00,,,,,BSD,Inactive,CAD,Demolished,No,0.00,No,Campus,Wh,No,1980,0.00,,,,0.00,CHICAGO,Demolished,,0,A02,,,Unknown,0.00,Laboratory,Whitman Laboratory,Inactive,20-14-115-012,0,1926,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=4,0.00
IL,,5713 South Drexel Avenue,Unknown,Building,0.00,1957,A03_PHOTO.JPG,0.00,,2001,,0.00,Burnham and Hammond,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A03,,,Unknown,0.00,Residential,Phemister Hall,Inactive,20-14-115-021,0,1957,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=5,0.00
IL,75,5730 South Ellis Avenue,None,Building,"131,167.00",1984,,304.00,,,,"160,107.00",The Stubbins Associates,,"170,670.46",,,,,Library,University Facilities Services-North Shop,CAD,NA,Yes,60.00,No,Campus,JCL,No,None,"28,940.00",,,C302,"168,656.27",CHICAGO,Owned,,190,A06,,,Unknown,0.00,Library,John Crerar Library,University Facilities Services,20-14-115-012,15,1984,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=6,159.00
IL,48,5720 South Ellis Avenue,None,Building,"33,299.00",1985,A07_PHOTO.JPG,201.00,,,,"47,736.00",Holabird and Root,,"60,548.27",,,,,PSD,University Facilities Services-North Shop,CAD,NA,Yes,64.00,No,Campus,KPTC,No,None,"14,437.00",,,C302,"59,286.96",CHICAGO,Owned,,536,A07,,,Unknown,0.00,Teaching,Kersten Physics Teaching Center,University Facilities Services,"20-14-115-015,16,17",14,1985,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=7,129.00
IL,03,5734 South Ellis Avenue,None,Building,"71,388.00",1969,A08_PHOTO.JPG,180.00,,,,"112,110.00",I.W. Colburn,,"131,381.17",,,,,PSD,University Facilities Services-North Shop,CAD,NA,Yes,70.00,No,Campus,HGS,No,None; piecemeal office and lab renovations,"40,722.00",Not Listed as of July 2011,plus 44' to top of tower,C302,"131,381.17",CHICAGO,Owned,,392,A08,,is referenced in Appendix I in the category of post WWII buildings,Unknown,0.00,Laboratory,Hinds Laboratory,University Facilities Services,20-14-115-014 & 018,164,1969,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=8,119.00
IL,,5741-43 South Drexel Avenue,Unknown,Building,0.00,1927,,0.00,,2001,,0.00,E.C. Jensen,,0.00,,,,,BSD,Inactive,CAD,Demolished,No,0.00,Unknown,Campus,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A09,,,Unknown,0.00,ACADOffice,5741-43 Drexel,Inactive,20-14-115-022,0,1895,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=9,0.00
IL,05,5841 South Maryland Avenue,None,Building,"29,612.00",1983,A10_PHOTO.JPG,94.00,,,,"65,464.00",Perkins and Will,,"78,522.24",,,,,UCH,Chicago Biology and  Medicine,CAD,NA,No,70.00,Unknown,Campus,Rubloff,No,,"35,852.00",,,B100,"78,522.24",CHICAGO,Owned,,9,A10,,,Unknown,0.00,Patient Care,Arthur Rubloff Intensive Care Tower,Chicago Biology and  Medicine,20-14-119-002,86,1983,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=10,123.00
IL,44,910 East 58th Street,None,Building,"16,658.00",1977,A11_PHOTO.JPG,187.00,,,,"26,908.00",Metz Train Olsen Youngren,,"34,701.50",,,,,BSD,Chicago Biology and  Medicine,CAD,NA,No,36.33,Unknown,Campus,MKL,No,Piecemeal,"10,250.00",,,C302,"34,701.50",CHICAGO,Owned,,19,A11,,,Unknown,0.00,Laboratory,Marjorie B. Kovler Viral Oncology Laboratories,Chicago Biology and  Medicine,20-14-115-023,22,1977,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=11,112.00
IL,37,956-60 East 58th Street,Yellow,Building,0.00,1922,A12_PHOTO.JPG,58.00,,2013,,0.00,C.B. Atwood,,"15,805.66",,,,,CFO,University Facilities Services-Hull Court Shop,CAD,NA,Yes,52.00,No,Campus,Ing,No,Unknown,0.00,"The building is color coded ""Yellow - too altered for architectural or historic significance.""",plus 13' to top of cupola,C302,"15,805.66",CHICAGO,Demolished,,0,A12,,"The building is in the Hyde Park-Kenwood Historic District, National Register, pg 40, item 135.",Unknown,0.00,ADMOffice,Ingleside Hall,University Facilities Services,20-14-115-014,0,1898,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=12,108.00
IL,97,970 East 58th Street,Orange,Building,"32,739.00",1902,A13_PHOTO.JPG,103.00,,,,"40,583.00",Shepley Rutan and Coolidge,,"50,162.07",,,,,CFO,University Facilities Services-Hull Court Shop,CAD,NA,Yes,52.00,No,Campus,,No,1980; piecemeal renovations as needed,"7,844.00","Color coded ""Orange - possesses potentially significant architectural or historical features.""",plus 24' to top of tower finial,C302,"50,162.07",CHICAGO,Owned,,41,A13,,"The building is in the Hyde Park-Kenwood Historic District, National Register, page 18, item 27.",Unknown,0.00,ADMOffice,Bookstore,University Facilities Services,20-14-115-014,63,1902,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=13,133.00
IL,05,5812 South Ellis Avenue,None,Building,"95,582.00",1977,A14_PHOTO.JPG,219.00,,,,"169,144.00",Schmidt Garden and Erikson,,"214,708.45",,,,,BSD,Chicago Biology and  Medicine,CAD,NA,No,100.00,Unknown,Campus,SBRI,No,Piecemeal,"73,562.00",,,B100,"214,708.45",CHICAGO,Owned,,241,A14,,,UCH,0.00,Laboratory,Surgery Brain Research Institute,Chicago Biology and  Medicine,20-14-119-008 & 009,136,1977,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=14,131.00
IL,02,947-51 East 58th Street,None,Building,"44,962.00",1926,A15_PHOTO.JPG,63.00,,,,"80,760.00",Coolidge and Hodgdon,,"102,865.32",,,,,BSD,Chicago Biology and  Medicine,CAD,NA,No,104.00,Unknown,Campus,AB,No,Piecemeal,"35,798.00",,,E100,"102,865.32",CHICAGO,Owned,,142,A15,,,Unknown,0.00,Laboratory,Abbott Memorial Hall,Chicago Biology and  Medicine,20-14-119-008,56,1926,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=15,267.00
IL,,950 East 59th Street,None,Building,"68,440.00",1961,A16_PHOTO.JPG,174.00,,,,"101,151.00",Schmidt Garden and Erikson,,"124,893.01",,,,,BSD,Chicago Biology and  Medicine,CAD,NA,No,55.00,Unknown,Campus,Peck,No,Piecemeal,"32,711.00",,,B100,"124,893.01",CHICAGO,Owned,,196,A16,,,Unknown,0.00,Laboratory,Peck Pavilion,Chicago Biology and  Medicine,20-14-119-009,63,1961,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=16,179.00
IL,05,5837 South Maryland Avenue,None,Building,"120,381.00",1967,A17_PHOTO.JPG,193.00,,,,"178,416.00",Schmidt Garden and Erikson,,"208,526.42",,,,,UCH,Chicago Biology and  Medicine,CAD,NA,No,101.00,Unknown,Campus,WCH,No,,"58,035.00",,,B100,"208,526.42",CHICAGO,Owned,,195,A17,,,BSD,0.00,Patient Care,Sylvain & Arma Wyler Children's Hospital,Chicago Biology and  Medicine,20-14-118-007,307,1967,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=17,255.00
IL,,950 East 59th Street,None,Building,"35,512.00",1963,A18_PHOTO.JPG,68.00,,,,"53,061.00",Schmidt Garden and Erikson,,"64,814.03",,,,,BSD,Chicago Biology and  Medicine,CAD,NA,No,100.00,Unknown,Campus,Armour,No,Piecemeal,"17,549.00",,,,"64,814.03",CHICAGO,Owned,,100,A18,,,UCH,0.00,Laboratory,Armour Clinical Research Building,Chicago Biology and  Medicine,20-14-119-008,127,1963,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=18,109.00
IL,05,5824 South Ellis Avenue,None,Building,"47,799.00",1953,A19_PHOTO.JPG,205.00,,,,"83,119.00",Schmidt Garden and Erikson,,"111,396.48",,,,,BSD,Chicago Biology and  Medicine,CAD,NA,No,104.00,Unknown,Campus,FMI,No,Piecemeal,"35,320.00",,,,"111,396.48",CHICAGO,Owned,,95,A19,,,Unknown,0.00,Laboratory,Franklin McLean Research Institute,Chicago Biology and  Medicine,20-14-119-008,100,1953,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=19,119.00
IL,05,5840 South Ellis Avenue,None,Building,"37,984.00",1950,A20_PHOTO.JPG,80.00,,,,"68,845.00",Schmidt Garden and Erikson,,"79,346.91",,,,,BSD,Chicago Biology and  Medicine,CAD,NA,No,104.00,Unknown,Campus,GMH,No,,"30,861.00",,,E100,"79,346.91",CHICAGO,Owned,,127,A20,,,UCH,0.00,ACADOffice,Goldblatt Memorial Hospital,Chicago Biology and  Medicine,20-14-119-008,69,1950,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=20,162.00
IL,,970 East 59th Street,None,Building,"31,074.00",1931,A21_PHOTO.JPG,110.00,,,,"44,835.00",Coolidge and Hodgdon,,"53,521.85",,,,,BSD,Chicago Biology and  Medicine,CAD,NA,No,88.00,Unknown,Campus,HICKS,No,,"13,761.00",,,E100,"53,521.85",CHICAGO,Owned,,89,A21,,,UCH,0.00,Laboratory,Hicks McElwee Hospital,Chicago Biology and  Medicine,20-14-119-008,99,1931,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=21,158.00
IL,05,949 East 58th Street,None,Building,"50,676.00",1969,A22_PHOTO.JPG,114.00,,,,"59,321.00",Schmidt Garden and Erikson,,"67,021.23",,,,,BSD,Chicago Biology and  Medicine,CAD,NA,No,0.00,Unknown,Campus,CAF,No,Piecemeal,"8,645.00",,underground building,E100,"67,021.23",CHICAGO,Owned,,0,A22,,,Unknown,0.00,Laboratory,A.J. Carlson Animal Research Facility,Chicago Biology and  Medicine,20-14-119-008 & 009,8,1969,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=22,102.00
IL,05,950 East 59th Street,Orange,Building,"230,685.00",1927,A23_PHOTO.JPG,364.00,,,,"414,771.00",Coolidge and Hodgdon,,"488,321.68",,,,,BSD,Chicago Biology and  Medicine,CAD,NA,No,96.00,No,Campus,AMB,No,Piecemeal,"184,074.00",,plus 56' to top of tower,B100,"488,321.68",CHICAGO,Owned,,982,A23,,,UCH,0.00,Laboratory,Albert Merrit Billings Hospital,Chicago Biology and  Medicine,20-14-119-008 & 009,702,1927,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=23,303.00
IL,05,920 East 59th Street,None,Building,"41,605.00",1930,A24_PHOTO.JPG,120.00,,,,"67,387.00",Coolidge and Hodgdon,,"77,111.64",,,,,BSD,Chicago Biology and  Medicine,CAD,NA,No,54.00,Unknown,Campus,BRH,No,Piecemeal,"25,782.00",,plus 32' to top of tower,,"77,111.64",CHICAGO,Owned,,104,A24,,,UCH,0.00,Laboratory,Bobs Roberts Memorial Hospital,Chicago Biology and  Medicine,20-14-119-008 & 009,164,1930,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=24,169.00
IL,,5835 South Drexel Avenue,None,Building,"81,871.00",1953,A25_PHOTO.JPG,182.00,,,,"121,843.00",Schmidt Garden and Erikson,,"145,052.50",,,,,BSD,Chicago Biology and  Medicine,CAD,NA,No,48.00,Unknown,Campus,GS,No,,"39,972.00",,plus 24' to top of tower,B100,"145,052.50",CHICAGO,Owned,,168,A25,,,UCH,0.00,ACADOffice,Charles Gilman Smith Hospital,Chicago Biology and  Medicine,20-14-119-009,257,1953,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=25,165.00
IL,,860 East 59th Street,None,Building,"12,945.00",1961,A26_PHOTO.JPG,89.00,,,,"21,277.00",Schmidt Garden and Erikson,,"24,834.86",,,,,BSD,Chicago Biology and  Medicine,CAD,NA,No,64.00,Unknown,Campus,GP,No,,"8,332.00",,,B100,"24,834.86",CHICAGO,Owned,,70,A26,,,UCH,0.00,ACADOffice,Goldblatt Pavilion,Chicago Biology and  Medicine,20-14-118-007,23,1961,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=26,91.00
IL,05,5841 South Maryland Avenue,Orange,Building,"91,189.00",1931,A27_PHOTO.JPG,253.00,,,,"136,181.00",Schmidt Garden and Erikson,,"169,585.46",,,,,BSD,Chicago Biology and  Medicine,CAD,NA,No,84.00,No,Campus,CLI,No,Piecemeal,"44,992.00",,,B100,"168,609.04",CHICAGO,Owned,,363,A27,,,UCH,0.00,Laboratory,Chicago Lying-In Hospital,Chicago Biology and  Medicine,20-14-118-007,328,1931,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=27,247.00
IL,,5700-02 South Drexel Avenue,Unknown,Building,0.00,1949,,0.00,,2008,845-47 East 57th Street,0.00,,,0.00,,,,,UCH,Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A28,,,Unknown,0.00,Residential,5700-02 Drexel,Inactive,,0,1910,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=28,0.00
IL,,5706-08 South Drexel Avenue,Unknown,Building,0.00,1950,,0.00,,2005,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A29,,,Unknown,0.00,Residential,5706-08 Drexel,Inactive,,0,1920,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=29,0.00
IL,,5710-12 South Drexel Avenue,Unknown,Building,0.00,1956,,0.00,,2005,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A30,,,Unknown,0.00,Residential,5710-12 Drexel,Inactive,,0,1920,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=30,0.00
IL,,5716-18 South Drexel Avenue,Unknown,Building,0.00,1950,,0.00,,2005,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A31,,,Unknown,0.00,Residential,5716-18 Drexel,Inactive,,0,1920,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=31,0.00
IL,,5724-26 South Drexel Avenue,Unknown,Building,0.00,1950,,0.00,,2005,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A32,,,Unknown,0.00,Residential,5724-26 Drexel,Inactive,,0,1890,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=32,0.00
IL,,5728-30 South Drexel Avenue,Unknown,Building,0.00,1931,,0.00,,2005,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A33,,,Unknown,0.00,Residential,5728-30 Drexel,Inactive,,0,1930,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=33,0.00
IL,,5742-48 South Drexel Avenue,Unknown,Building,0.00,1931,,0.00,,1996,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A34,,,Unknown,0.00,Residential,5742-48 Drexel,Inactive,,0,1930,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=34,0.00
IL,,5701 South Maryland Avenue,Unknown,Building,0.00,1955,,0.00,,1996,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A35,,,Unknown,0.00,Residential,5701 Maryland,Inactive,,0,1910,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=35,0.00
IL,,5737 South Maryland Avenue,Unknown,Building,0.00,1994,,0.00,,2001,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A36,,,Unknown,0.00,Residential,5737 Maryland,Inactive,20-14-114-015,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=36,0.00
IL,,5708-10 South Maryland Avenue,Unknown,Building,0.00,1963,,0.00,,1996,,0.00,,,0.00,,,,,Commerical Real Estate (CRE),Inactive,CAD,Demolished,No,0.00,Unknown,Hyde Park,,Unknown,,0.00,,,,0.00,CHICAGO,Demolished,,0,A37,,,Unknown,0.00,Residential,5708-10 Maryland,Inactive,,0,,,https://collaborate.uchicago.edu/depts/fs/Lists/BuildingsAndProperties/DispForm.aspx?ID=37,0.00
